epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.7891,0.81264,0.70172,1.08845,0.91386,1,0.995,0.6136,1.53886,0.59785,2.15992,0.000383694,0.000383694,0.000383694
43,64.993,0.79298,0.6373,1.07351,0.91386,1,0.995,0.6136,1.53886,0.59785,2.15992,0.000372898,0.000372898,0.000372898
44,66.3326,0.69978,0.58355,1.03997,0.91438,0.9866,0.995,0.64715,1.62924,0.61135,2.29266,0.000361158,0.000361158,0.000361158
45,67.5914,0.7351,0.59286,1.07838,0.91438,0.9866,0.995,0.64715,1.62924,0.61135,2.29266,0.000348476,0.000348476,0.000348476
46,68.8014,0.78597,0.68044,1.0552,0.86743,0.98156,0.995,0.58908,1.72096,0.69838,2.39138,0.00033485,0.00033485,0.00033485
47,69.9686,0.75962,0.69928,1.07633,0.86743,0.98156,0.995,0.58908,1.72096,0.69838,2.39138,0.000320282,0.000320282,0.000320282
48,71.0957,0.69591,0.57773,1.02556,0.82842,0.96972,0.995,0.63032,1.75225,0.76936,2.33466,0.00030477,0.00030477,0.00030477
49,72.2778,0.78341,0.60873,1.07104,0.82842,0.96972,0.995,0.63032,1.75225,0.76936,2.33466,0.000288315,0.000288315,0.000288315
50,74.0915,0.77043,0.62934,1.06297,0.78779,1,0.995,0.63026,1.68596,0.77743,2.1861,0.000270917,0.000270917,0.000270917
51,79.9527,0.64339,0.71095,1.02892,0.78779,1,0.995,0.63026,1.68596,0.77743,2.1861,0.000250075,0.000250075,0.000250075
52,81.9986,0.69366,0.66068,1.0455,0.76802,1,0.995,0.6553,1.51363,0.80478,1.92852,0.000226497,0.000226497,0.000226497
53,83.9262,0.59387,0.59424,0.92637,0.76802,1,0.995,0.6553,1.51363,0.80478,1.92852,0.000202918,0.000202918,0.000202918
54,85.3121,0.65115,0.57324,0.96753,0.76551,1,0.995,0.61394,1.54296,0.73186,1.91047,0.00017934,0.00017934,0.00017934
55,86.5496,0.53886,0.53516,0.92131,0.76551,1,0.995,0.61394,1.54296,0.73186,1.91047,0.000155761,0.000155761,0.000155761
56,87.9311,0.57359,0.52536,0.93576,0.83034,0.98301,0.995,0.60662,1.65102,0.61984,2.10464,0.000132183,0.000132183,0.000132183
57,89.7421,0.50451,0.49662,0.94414,0.83034,0.98301,0.995,0.60662,1.65102,0.61984,2.10464,0.000108604,0.000108604,0.000108604
58,91.5781,0.52257,0.49938,0.97064,0.89082,1,0.995,0.59062,1.63484,0.6046,2.00496,8.50255e-05,8.50255e-05,8.50255e-05
59,93.0636,0.56668,0.53302,0.95978,0.89082,1,0.995,0.59062,1.63484,0.6046,2.00496,6.1447e-05,6.1447e-05,6.1447e-05
60,94.3265,0.49882,0.52118,0.89802,0.92823,1,0.995,0.59089,1.67276,0.5828,2.02451,3.78685e-05,3.78685e-05,3.78685e-05
